epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
122,30118,1.55207,0.77993,1.0158,2.89522,0.86637,0.7523,0.80868,0.46477,1.57567,0.94107,1.42727,0,0.0002014,0.0002014,0.0002014
123,30385,1.50419,0.786,1.03875,2.96599,0.88702,0.76271,0.83122,0.48835,1.54078,0.91882,1.4275,0,0.0001948,0.0001948,0.0001948
124,30677,1.55236,0.81588,1.04577,2.90827,0.87881,0.76462,0.82742,0.48957,1.53561,0.89587,1.40242,0,0.0001882,0.0001882,0.0001882
125,30908.9,1.51082,0.7632,1.00805,2.86822,0.89385,0.74728,0.82079,0.48279,1.54368,0.92826,1.41006,0,0.0001816,0.0001816,0.0001816
126,31146.1,1.49768,0.7646,1.02414,2.87353,0.88007,0.75952,0.81725,0.47558,1.57212,0.93311,1.43391,0,0.000175,0.000175,0.000175
127,31365.1,1.5518,0.8026,1.03586,2.88571,0.88551,0.75996,0.81868,0.48692,1.5511,0.9205,1.42568,0,0.0001684,0.0001684,0.0001684
128,31628.9,1.54458,0.79392,1.02705,2.86161,0.89008,0.75378,0.82067,0.47963,1.55453,0.91472,1.43176,0,0.0001618,0.0001618,0.0001618
129,31857.6,1.52282,0.77976,1.03058,2.81,0.88555,0.76177,0.82902,0.48875,1.54626,0.92543,1.42174,0,0.0001552,0.0001552,0.0001552
130,32142.5,1.52192,0.7868,1.03475,2.85625,0.88233,0.75395,0.81705,0.46753,1.58743,0.91748,1.44312,0,0.0001486,0.0001486,0.0001486
131,32378.4,1.49791,0.75524,1.01983,2.83295,0.87067,0.76222,0.8202,0.48192,1.55025,0.90137,1.42804,0,0.000142,0.000142,0.000142
132,32770.3,1.55124,0.75481,0.99473,2.73457,0.88555,0.76737,0.8289,0.49044,1.52739,0.91745,1.41006,0,0.0001354,0.0001354,0.0001354
133,33071.6,1.52392,0.78813,1.02779,2.82858,0.88357,0.7667,0.82695,0.48583,1.55098,0.90826,1.43522,0,0.0001288,0.0001288,0.0001288
134,33274.5,1.5359,0.79364,1.03122,2.82161,0.87655,0.76846,0.82515,0.4846,1.54109,0.90626,1.41857,0,0.0001222,0.0001222,0.0001222
135,33470,1.51326,0.75653,1.00941,2.75915,0.89143,0.76312,0.83298,0.48301,1.55787,0.9078,1.43437,0,0.0001156,0.0001156,0.0001156
136,33744.7,1.51725,0.78072,1.0131,2.71205,0.8784,0.76581,0.82592,0.48596,1.53846,0.90224,1.41599,0,0.000109,0.000109,0.000109
137,33987.7,1.51176,0.77233,1.02573,2.7683,0.87562,0.76544,0.8227,0.48307,1.55543,0.89755,1.41935,0,0.0001024,0.0001024,0.0001024
138,34285.2,1.53689,0.76359,1.00375,2.71437,0.87453,0.76693,0.82698,0.47679,1.58303,0.91192,1.44218,0,9.58e-05,9.58e-05,9.58e-05
139,34567,1.52497,0.75348,1.0059,2.67937,0.89177,0.76291,0.82975,0.4852,1.55575,0.89759,1.42978,0,8.92e-05,8.92e-05,8.92e-05
140,34814.1,1.50046,0.76709,1.00967,2.70021,0.88972,0.76247,0.82822,0.48684,1.5545,0.8953,1.43248,0,8.26e-05,8.26e-05,8.26e-05
141,35031.4,1.4213,0.70629,1.0427,2.80189,0.88384,0.76112,0.82581,0.48931,1.54354,0.90347,1.42733,0,7.6e-05,7.6e-05,7.6e-05
142,35291,1.40654,0.6737,1.0263,2.78153,0.89522,0.76035,0.82885,0.49109,1.53546,0.89866,1.43107,0,6.94e-05,6.94e-05,6.94e-05
143,35513.6,1.44474,0.69011,1.02399,2.81518,0.88968,0.76526,0.83122,0.49444,1.53987,0.88574,1.43435,0,6.28e-05,6.28e-05,6.28e-05
144,35703.8,1.4246,0.67388,1.0084,2.76726,0.89381,0.7614,0.829,0.49563,1.51613,0.89109,1.42018,0,5.62e-05,5.62e-05,5.62e-05
145,35922,1.40444,0.70541,1.03855,2.76892,0.88115,0.77366,0.8311,0.49031,1.54324,0.89112,1.43765,0,4.96e-05,4.96e-05,4.96e-05
146,36147.3,1.40242,0.6785,1.01501,2.74586,0.89472,0.76562,0.83106,0.48853,1.54029,0.89851,1.43627,0,4.3e-05,4.3e-05,4.3e-05
147,36354.8,1.40903,0.67152,1.02278,2.74123,0.89278,0.77056,0.83313,0.4938,1.52941,0.88913,1.42825,0,3.64e-05,3.64e-05,3.64e-05
148,36558.2,1.42706,0.68467,1.02014,2.75325,0.8919,0.771,0.83171,0.49504,1.52441,0.89243,1.42712,0,2.98e-05,2.98e-05,2.98e-05
149,36797.8,1.39398,0.66105,1.01673,2.70798,0.89439,0.76658,0.82839,0.49198,1.525,0.89248,1.42671,0,2.32e-05,2.32e-05,2.32e-05
150,37068.4,1.40224,0.66996,1.03626,2.7031,0.88884,0.76852,0.82815,0.48995,1.53382,0.88661,1.43024,0,1.66e-05,1.66e-05,1.66e-05
