epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
102,10403.4,1.18407,0.63457,1.05993,2.05218,0.89827,0.75423,0.81877,0.47241,1.39144,0.84052,1.4085,0,0.0003334,0.0003334,0.0003334
103,10469.4,1.17627,0.62543,1.04543,2.00481,0.89885,0.76138,0.82325,0.49212,1.38867,0.83009,1.43527,0,0.0003268,0.0003268,0.0003268
104,10588,1.143,0.60732,1.04059,1.97323,0.8979,0.76941,0.82816,0.48554,1.39726,0.84604,1.42384,0,0.0003202,0.0003202,0.0003202
105,10682.5,1.15408,0.62165,1.04643,1.99516,0.88792,0.77225,0.82615,0.49984,1.35193,0.81671,1.41368,0,0.0003136,0.0003136,0.0003136
106,10796.6,1.15488,0.62198,1.04817,2.00233,0.89374,0.75899,0.82192,0.48662,1.36171,0.81193,1.41243,0,0.000307,0.000307,0.000307
107,10886.9,1.18173,0.64675,1.07939,2.03704,0.89823,0.75358,0.8153,0.47857,1.40153,0.82178,1.43493,0,0.0003004,0.0003004,0.0003004
108,10952.9,1.14089,0.60923,1.04538,1.95715,0.90823,0.75602,0.82281,0.49674,1.36732,0.80995,1.43038,0,0.0002938,0.0002938,0.0002938
109,11037.4,1.13979,0.61047,1.04541,1.94435,0.90157,0.75959,0.82068,0.48239,1.40983,0.83071,1.45914,0,0.0002872,0.0002872,0.0002872
110,11129.7,1.15342,0.62196,1.05915,1.93918,0.90812,0.75832,0.81696,0.49089,1.33839,0.80237,1.3938,0,0.0002806,0.0002806,0.0002806
111,11219.5,1.1467,0.61442,1.03717,1.96281,0.89094,0.78261,0.83505,0.5111,1.31535,0.80009,1.39207,0,0.000274,0.000274,0.000274
112,11310.7,1.15209,0.60776,1.03916,1.91261,0.90577,0.76078,0.82075,0.48791,1.40445,0.83001,1.45432,0,0.0002674,0.0002674,0.0002674
113,11440.9,1.15794,0.62188,1.05005,1.91567,0.90388,0.75908,0.82227,0.4897,1.4987,0.84424,1.56924,0,0.0002608,0.0002608,0.0002608
114,11514.7,1.14777,0.63383,1.06879,1.96037,0.90958,0.76365,0.82333,0.49278,1.34097,0.81467,1.39994,0,0.0002542,0.0002542,0.0002542
115,11659,1.13134,0.61045,1.04415,1.9418,0.89411,0.76073,0.81446,0.47037,1.44345,0.83114,1.48415,0,0.0002476,0.0002476,0.0002476
116,11725,1.15677,0.61331,1.04419,1.9135,0.89941,0.7673,0.82623,0.49383,1.39659,0.83913,1.45925,0,0.000241,0.000241,0.000241
